GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,DEPTH
2623NEW122,,Meath Co. Co.,Unknown,12.8,,DTB Unknown,,283070,246850,to 50m,MOY,,Meath,42,,,,,,,,,,,,,,,Co. Co. Pump.,,,1to50m
2623NEW123,,Meath Co. Co.,Unknown,,,,,276940,248650,to 50m,TOBERTYNAN,,Meath,42,,Moderate,,44.0,,,,,,,,,,,Co. Co. Pump,,,1to50m
2623NEW124,,,Unknown,6.0,,Bedrock Not Met,13/07/1977,282580,247970,to 50m,CLONDOOGAN,,Meath,42,,,,,,,,,,,,,,,,,,1to50m
2623NEW125,,Meath Co. Co.,Borehole,36.3,,DTB Unknown,,285600,248300,to 50m,SPRINGVALLEY,,Meath,43,,,,,,,,,,,,,,,Co. Co. Pump.  Estimate O.D. only.,,,1to50m
2623NEW295,14c,,Spring,,,,01/01/1982,289900,243280,to 50m,KEMMINS MILL,,Meath,49,,Low Spring,,,,,,,,,,,,,"WARM SPRING & WELL, 14C, SEE GEOTHERMAL REPORT""""",,,1to50m
2623NEW297,,MEATH CO. CO.,Unknown,,,,01/01/1992,287930,241120,to 50m,BALFEAGHAN,,Meath,49,Public supply (Co Co),,,,,,,,,,,,,,"Pres. unit, serves 2 semi-detached cottages",,,1to50m
2623NWW001,,MEATH CO. CO.,Dug well,3.7,,Bedrock Not Met,,273800,242340,to 50m,KILMURRY,,Meath,48,,,,,,,,,,,,,,,"Well 716, Geoex well survey",Map ref. 716,,1to50m
2623NWW002,,Meath Co. Co. ?,Dug well,3.7,,Bedrock Not Met,,274950,242080,to 50m,NEWCASTLE,,Meath,48,,,,,,,,,,,,,,,Well sealed. Geoex report,,,1to50m
2623NWW003,land commission 1697,,Borehole,39.6,15.5,Bedrock Presumed,,274840,248120,to 50m,GILBERTSTOWN,,Meath,42,Domestic use only,Moderate,III,55.0,55.0,,3.6,15.3,,,,,,,LC well no. 1697,,,1to50m
2623NWW004,,,Borehole,33.5,7.6,Bedrock Met,23/12/1965,274670,248160,to 50m,GILBERTSTOWN,,Meath,42,Domestic use only,Poor,IV,33.0,33.0,,3.1,10.7,,,,,,,LC No. 1163. Well deepened in 1966(28.6-33.5). New well 1697,,,1to50m
2623NWW005,ILC 1158,,Borehole,12.8,11.3,Bedrock Met,05/01/1966,273960,246800,to 50m,CULLENTRY,,Meath,42,Domestic use only,Poor,IV,21.8,,,3.1,7.1,,8.5,,,,,LC 1158.,,Bailer test only,1to50m
2623NWW006,ILC 1561,,Borehole,28.3,18.6,Bedrock Met,16/03/1970,273960,246780,to 50m,CULLENTRY,,Meath,42,Domestic use only,Poor,IV,24.0,,,1.2,19.7,,,,,,,LC well no.1561,,,1to50m
2623NWW007,ILC 1159,,Borehole,12.2,,Bedrock Not Met,23/12/1966,274820,246210,to 50m,CULLENTRY,,Meath,42,Domestic use only,Poor,IV,21.8,,,3.1,7.1,,,,,,,pollution problem.,,,1to50m
2623NWW008,ILC 1161,,Borehole,7.9,,Bedrock Not Met,03/02/1968,274340,246290,to 50m,CULLENTRY,,Meath,42,Domestic use only,Moderate,II,43.6,,,0.3,143.0,,7.3,,,,,Fe high.,,,1to50m
2623NWW009,ILC 1161,"Land Commission, Weily Estate",Borehole,7.3,,Bedrock Not Met,24/01/1967,273760,246150,to 50m,CULLENTRY,,Meath,42,,Moderate,III,43.6,,,0.6,71.4,,5.2,,,,,Plot 4.  Bailing at 400 gph,,,1to50m
2623NWW010,,,Dug well,7.0,,Bedrock Not Met,01/07/1977,271520,245530,to 50m,LONGWOOD,,Meath,47,,Poor,,39.0,,,,,,,,,,,"No. 720, Geoex well survey 1977",Map ref. 720/,,1to50m
2623NWW011,,Meath Co. Co.,Dug well,4.3,,Bedrock Not Met,01/07/1977,271100,246280,to 50m,DERRINLIG,,Meath,47,,,,,,,,,,,,,,,Seasonal yield.  Thick drift reported.  No. 705.,Map ref 705/,,1to50m
2623NWW012,ILC 703,Land Commission,Borehole,42.7,5.2,Bedrock Met,01/07/1977,270330,245610,to 50m,LONGWOOD,,Meath,47,,Poor,,9.0,,,,,152.0,,,,,,high Fe & colour.  No. 703.,,,1to50m
